"num","title","rows","cols","columns","filename"
1,"Germinating seeds","48","3","binary, categorical, count","germin"
2,"Guessing lengths","44","1","numeric","lengths"
3,"Darwin's cross-fertilized and self-fertilized plants","15","2","rep(2) numeric","darwin"
4,"Intervals between cars on the M1 motorway","41","1","numeric","interval"
5,"Tearing factor for paper","20","2","numeric(2)","tearing"
6,"Abrasion loss","30","3","numeric(3)","abrasion"
7,"Mortality and water hardness","61","3","binary, rate(2)","water"
8,"Tensile strength of cement","21","2","numeric(2)","cement"
9,"Weight gain in rats","40","3","binary(2) ,numeric","weight"
10,"Weight of chickens","24","3","nominal, categorical, numeric","chickens"
11,"Flicker frequency","27","4","nominal(3), numeric","flicker"
12,"Effect of ammonium chloride on yield","16","5","nominal, binary(3), numeric","chloride"
13,"Comparing dishwashing detergents","36","3","nominal(2), count","dishwash"
14,"Software system failures","136","1","numeric","software"
15,"Piston-ring failures","12","3","categorical, nominal, count","piston"
16,"Strength of chemical pastes","60","3","nominal(2), numeric","pastes"
17,"Human age and fatness","18","3","numeric, percentage, binary","human"
18,"Motion sickness","49","3","binary(2), numeric","motion"
19,"Plum root cuttings","960","3","binary(3)","plum"
20,"Spectacle wearing and delinquency","16","2","binary(2)","glasses"
21,"Yield of isatin derivative","16","5","binary(4), numeric","isatin"
22,"Fecundity of fruitflies","75","2","nominal, numeric","fruitfly"
23,"Butterfat","100","3","nominal, binary, numeric","butter"
24,"Snoring and heart disease","2484","2","categorical, binary","snoring"
25,"Trees' nearest neighbours","6","6","count(6)","trees"
26,"Air pollution in US cities","41","7","numeric(6), count","usair"
27,"Acacia ants","28","2","binary(2)","acacia"
28,"Vaccination","24","6","nominal(3), binary, count(2)","vaccine"
29,"Peppers in glasshouses","24","6","binary(5), numeric","peppers"
30,"A clinical trial in lymphoma","273","2","categorical, binary","clinical"
31,"Danish do-it-yourself","1591","6","numeric, binary(4), categorical","danish"
32,"Testing cement","36","3","nominal(2), numeric","testing"
33,"Irises","150","5","numeric(4), nominal","irises"
34,"Water voles","14","13","percentage(13)","voles"
35,"Facilities in East Jerusalem","8","9","perct~ntage(9)","facility"
36,"Yields of winter wheat","12","4","rep(4) numeric","wheat"
37,"WISC blocks","24","3","binary, numeric(2)","blocks"
38,"Byssinosis","5419","6","categorical, binary(4), numeric","lung"
39,"A tomato crossing experiment","1611","2","binary(2)","tomato"
40,"Coronary heart disease","1329","3","numeric(2), binary","coronary"
41,"Toxaemia of pregnancy","113384","4","categorica1(2), binary(2)","toxaemia"
42,"Starting positions in horse racing","144","1","rank","horse"
43,"Saltiness judgements","9","1","numeric","salt"
44,"Oral socialization and explanations of illness","39","2","binary, categorical","illness"
45,"Dopamine and schizophrenia","25","2","binary, numeric","dopamine"
46,"US cancer mortality","11","5","rep(2) count(2), numeric","uscancer"
47,"Cholesterol and behaviour type","3154","2","binary, numeric","behave"
48,"Aflatoxin in peanuts","34","2","numeric, percentage","peanuts"
49,"Anscombe's correlation data","11","2","numeric(2)","anscombe"
50,"Caffeine and finger tapping","30","2","numeric(2)","caffeine"
51,"Jackal mandible lengths","20","2","binary, numeric","jackal"
52,"Birds in paramo vegetation","14","5","count, numeric(4)","paramo"
53,"Extinction of marine genera","48","2","numeric, percentage","marine"
54,"Household expenditures","40","5","binary, numeric( 4)","house"
55,"Cork deposits","28","4","numeric(4)","cork"
56,"Creatinine kinase and heart attacks","360","2","binary, numeric","heart"
57,"Petrol expenditure","32","4","numeric(4)","petrol"
58,"North Buckinghamshire moths","24","1","count","moths"
59,"Crowds and threatened suicide","21","2","binary(2)","suicide"
60,"Putting the shot","20","1","numeric","shot"
61,"Wooden toy prices","31","1","numeric","toy"
62,"Food prices","10","2","rep(2) numeric","food"
63,"UK eamings ratios","1","60","rep(12) numeric(5)","earnings"
64,"Census data on 10 towns","10","4","percentage( 4)","census"
65,"Expenditure on food","11","2","numeric, percentage","expend"
66,"Anaerobic threshold","1","106","rep(53) numeric(2)","anaerob"
67,"Road casualties on Fridays","1","24","rep(24) count [time series]","friday"
68,"UK sprinters","10","2","maxima(2)","uksprint"
69,"Unemployment and expenditure on motoring","11","2","percentage(2)","motoring"
70,"Cloud seeding","24","7","binary(2), numeric(5)","cloud"
71,"Calculator random digits","10","1","count","random"
72,"Captopril and blood pressure","15","4","rep(2) numeric(2)","blood"
73,"Food prices and house prices","1","38","rep(19) numeric(2)","prices"
74,"UNICEF data on child mortality","14","3","rate, percentage(2)","unicef"
75,"Length of stay on a psychiatric observation ward","336","3","binary(2), numeric","ward"
76,"Hodgkin's disease","538","2","categorical, nominal","hodgigns"
77,"A Church Assembly vote","451","2","nominal(2)","church"
78,"A vandalized experiment","36","4","nominal, numeric(3)","vandal"
79,"Chest, waist and hips measurements","20","3","numeric(3)","measure"
80,"Morsecode mistakes","10","10","confusion matrix","morse"
81,"Distribution of minimum temperatures","3","1","rep(49)minima","mintemp"
82,"Rat skeletal muscle","25","4","count(4)","muscle"
83,"Ground cover under apple trees","48","4","nominal(2), numeric(2)","apple"
84,"Lung cancer and occupation","25","2","numeric(2)","cancer"
85,"House insulation: Whitbum","15","2","binary, numeric","whitburn"
86,"House insulation: Bristol","20","2","binary, numeric","bristol"
87,"Engine capacity and fuel consumption","9","2","numeric(2)","engine"
88,"House insulation: Whiteside's data","1","113","rep(56) numeric(2), binary","insulate"
89,"1981 coffee prices","15","1","numeric","coffee"
90,"House temperatures: Neath Hili","15","2","numeric(2)","temperat"
91,"Sex differences at school","749","2","categorical, binary","sex"
92,"Destination of school leavers","115","2","categorical, numeric","school"
93,"House insulation: Pennyland","26","2","numeric, binary","penny"
